ASKotec v2.0_000_2019 Content List;;;;;
82;Pencil Pouch ;T;1;nylon zipper bag (Pen, Pencil, Sharpener, Small Brush, Highlighter, Marker, Metal Ruler);
83;Plastic Containers;T;4;BOX 11/40  small plastic storage container with lid;
84;Plastic Zipper Bag A4;T;1;blue zipper;
85;Plastic Zipper Bag A6;T;5;orange zipper;
86;Plastic Zipper Bag B6;T;2;red zipper;
87;Protractor / Ruler;T;1;length 160mm;
88;Radio Set;T;1;FM - MODUL SI 4703;
89;Scissors;T;1;REXEL 2104242 stainless steel, grün;
90;Sewing Kit;T;1;basic sewing threads and needles and magnifying glas;
91;Sharpener;T;1;;
92;Small Brush;T;1;small yellow-haired paint brush;
93;Small Combination Padlock;T;1;ABUS Jet Set | 155 ;
94;Soldering Iron Tray;T;1;CLEANER 460A incl. cleaner;
95;Soldering tip (extra);T;1;round, 3.9mm;
96;Textile Tool Box;T;1;Travel bag/box, Wera 2 Go 3, Textile, 325x130x80 mm, black with velcro;
97;Third hand;T;1;Third Hand Tool with Magnifying Glass;
98;Tool bag + soldering iron;T;1;FIXPOINT 45243 tool bag + soldering iron, 20 parts;
99;Travel Adapter;T;1;KW 38462 including USB plug;
100;Universal Mobile repair Kit;T;1;GB 44690 for smartphones, 17 parts, incl. Pentalobe;
101;USB flash drive (32GB);T;1;TOS U301W0320E4 USB-Stick, USB 3.0, 32 GB, U301 white;
102;USB Volt- & Amperemeter;T;1;USB Detector/DualDisplay Charger Doctor;
103;Wire Cutter;T;1;red & slim;
104;Workplace Textile;T;1;A0 cotton;
